id,Gender,Birth.Order,Height,Weight
63,M,1,72.24381302,212.6955
64,F,1,71.48809096,111.3148894
65,M,1,66.49972983,151.2083155
66,F,1,71.13550105,143.8598556
67,F,1,54.12920476,120.6814533
68,M,1,65.78586598,159.8225783
69,M,1,71.48242112,149.9754767
70,F,1,61.86962263,98.57940352
71,M,1,70.87085351,192.2012918
72,F,1,68.03613467,143.9736892
73,M,1,67.15212658,154.0281631
74,M,2,66.21043315,161.7907521
75,F,2,62.5700829,112.7374196
76,F,2,73.84041993,153.3708888
77,M,1,67.46266606,194.8720636
78,F,1,69.97405662,112.5559489
79,M,1,73.64415664,192.7311759
80,M,3,68.29860178,169.3202349
81,M,1,67.77634339,171.4112441
82,F,1,70.23962996,125.8380112
83,F,1,70.0497337,143.5704608
84,F,2,58.20199273,121.4484973
85,M,1,66.42670532,148.7580722
86,F,2,68.353531,156.0102596
87,M,2,59.6026484,152.3233233
88,M,4,65.98362602,188.0492103
89,M,1,70.38783066,210.5336922
90,M,1,68.8271424,153.6462641
91,F,2,62.85539968,90.00313671
92,M,1,66.4532693,146.0902288
93,M,1,72.73601156,191.622006
94,F,1,62.40092699,126.9929786
95,F,2,68.86964688,115.2230346
96,M,1,71.07924896,172.0778298
97,F,3,69.61497798,112.9019091
98,M,1,71.03256239,158.0357167
99,M,4,60.69205993,133.9502403
100,F,1,62.99954403,122.8091092
101,M,1,69.97040589,181.080121
102,M,2,71.17647795,174.7540453
103,M,1,72.54345502,186.629667
104,M,2,69.19928857,188.4533158
105,M,1,77.74003806,169.3305832
106,M,1,69.24074854,137.864454
107,F,2,63.58215773,113.7715086
108,F,2,70.5328423,142.7036097
109,F,1,61.15754725,115.3202571
110,M,1,70.17343871,201.8004648
111,M,1,71.62270583,202.3926745
112,M,1,70.46162989,175.5026998
113,F,4,65.19370395,146.64474
114,M,2,70.94310547,183.9227675
115,M,1,64.26310645,161.5359278
116,M,1,70.81701468,220.0548723
117,F,1,57.54842706,93.40278087
118,F,2,60.17981014,136.8311719
119,F,1,66.92533043,125.4362073
120,F,1,62.71960361,152.582277
121,F,1,68.04163372,132.7768062
122,M,2,74.7991402,176.0756295
123,F,1,65.33208529,108.2777773
124,F,3,70.56182363,133.838868
125,M,1,66.07269108,148.5383656
126,F,3,60.44798126,118.9823578
127,M,1,72.65046633,148.8982621
128,M,2,69.47160996,151.2506031
129,M,1,70.65412497,166.2187453
130,F,3,64.87297965,94.14334913
131,F,1,60.02910035,101.5836123
132,M,2,74.57419632,204.9921598
133,F,1,61.15742626,143.7109648
134,F,1,64.57871304,110.9004067
135,F,2,66.34754636,141.9819362
136,M,1,66.80623536,194.1188213
137,F,2,65.30577749,121.9345576
138,M,1,79.21193011,195.2295424
139,M,1,66.16812931,202.0419898
140,F,1,66.92079682,152.0165979
141,M,2,73.53668963,187.3575763
142,F,1,68.01114737,131.5026615
143,F,1,64.47140213,113.9464214
144,F,1,75.74338848,148.9516122
145,M,2,72.40067592,194.5137774
146,F,3,67.2686173,116.1901849
147,M,2,70.06832347,174.2426978
148,F,3,61.30113994,119.3396274
149,M,1,65.58915138,163.7294312
150,M,1,74.22910728,177.206581
151,M,1,66.523279,162.4928847
152,F,1,61.41190998,105.2953084
153,F,1,66.07062083,138.1005867
154,F,2,64.54263123,107.6160209
155,M,1,66.44826349,149.695071
156,M,2,73.60790547,199.9612794
157,F,1,66.31227952,164.5019198
158,F,2,63.24595132,133.104016
159,M,1,68.2005426,144.6035102
160,F,2,63.99313505,137.1998735
161,F,1,62.82538765,97.5414741
162,M,1,64.98998757,157.4567862
163,M,4,68.64640694,174.8367709
164,M,1,66.45171104,148.4017672
165,M,1,71.74666246,179.49855
166,F,3,62.11333618,159.2950561
167,M,1,76.74427771,216.1483439
168,M,2,74.02373052,195.1259888
169,M,4,74.21922538,172.3970214
170,M,1,67.74905643,156.2999033
171,F,3,75.40008933,141.231287
172,F,1,66.29768216,126.6811565
173,F,4,67.37302194,143.6492525
174,M,1,70.59290022,227.1910122
175,F,2,63.67734344,101.6235664
176,M,1,69.29430156,164.2278103
177,M,1,82.83240766,207.1380491
178,F,1,74.54973023,138.7342867
179,M,1,64.18160039,139.2062197
180,M,3,70.89908695,171.4275614
181,F,3,62.01837138,145.7068605
182,F,1,62.58318538,125.9465279
183,M,1,65.7373152,185.6420879
184,F,3,61.84665111,109.8929961
185,F,1,64.99746826,119.6610446
186,M,2,69.9703656,178.8715479
187,M,2,63.60447932,172.9487302
188,F,1,67.01243358,136.1859402
189,F,1,67.30662735,107.4277007
190,F,3,59.04801825,144.5541841
191,F,2,64.49790425,155.0520857
192,F,1,69.42623812,111.2547367
193,M,3,69.32041685,207.9855865
194,F,2,60.54737715,125.2380404
195,F,3,70.27682267,103.9671249
196,M,2,73.84981425,191.6545675
197,F,1,59.77191044,110.8279566
198,F,1,66.35612257,166.4056527
199,M,3,72.41732567,167.0397279
200,M,2,70.70314496,176.6807843
201,M,3,66.02334427,166.4745129
202,M,2,75.24764627,148.7924802
203,F,1,66.68126742,108.0568501
204,M,1,66.92643976,165.4499331
205,M,1,76.68460405,166.3913322
206,M,1,71.44974206,177.1985027
207,F,2,75.08473469,138.9834297
208,F,1,71.53271536,110.2448777
209,M,1,71.42749259,190.8926711
210,F,3,57.94517117,109.7670063
211,M,1,69.89253002,186.3624895
212,F,2,63.6358056,108.374113
213,M,1,74.05590511,175.2866218
214,F,2,65.66845414,96.65594811
215,M,1,70.34683097,190.8796628
216,F,2,65.81671398,140.1057396
217,F,1,60.34494002,94.54785237
218,M,1,69.93881996,149.3755246
219,F,1,67.28216401,125.5472575
220,F,4,65.54144215,148.9650906
221,F,3,65.68416414,152.0815887
222,F,1,69.08878503,160.6557706
223,M,1,68.33081044,189.1286717
224,M,1,70.95309733,183.7965824
225,F,2,65.14732103,127.2307717
226,M,1,68.89340687,185.3427042
227,M,4,75.49410925,194.9787906
228,F,1,64.75626955,128.9703326
229,F,2,65.36440949,72.96262141
230,F,1,67.83082521,149.6697878
231,F,1,64.64359716,120.5016302
232,M,4,76.98422202,186.5284267
233,M,1,68.13610845,194.1535465
234,M,1,78.46338666,200.7336048
235,F,2,61.00672902,100.7338445
236,F,1,70.3915881,91.73337018
237,M,3,71.81272355,183.159242
238,F,1,70.22632923,139.1722796
239,F,1,70.81345407,101.1522548
240,M,1,68.61705131,164.9468718
241,F,1,73.59803518,123.2651595
242,F,1,61.59514871,147.6018851
243,F,1,74.03859656,148.1811026
244,M,3,69.52164043,204.2130827
245,F,1,64.75184719,94.40761719
246,F,3,63.42946738,119.2801018
247,M,1,72.34161816,208.1480027
248,F,4,65.54726659,129.0761728
249,M,2,71.58151536,187.7051501
250,M,3,69.89610794,165.3417958
251,F,1,64.57568003,129.9380816
252,F,4,63.25586127,139.5887155
253,M,3,73.56382145,181.6608241
254,F,3,61.35140481,163.352884
255,F,2,73.46887319,123.6143707
256,M,2,70.52945134,198.8196644
257,F,1,65.25197014,92.76060671
258,F,1,71.49252041,109.2172674
259,F,2,62.76286556,125.9051212
260,F,1,56.90755237,115.5771806
261,M,1,70.37613486,117.3522844
262,F,2,62.29545428,119.5304546
263,F,2,61.38517969,120.328817
264,F,3,64.69716225,137.0221994
265,M,1,64.57249936,205.3598663
266,F,2,66.59613146,116.5953651
267,F,1,67.82611549,146.1055896
268,F,1,70.09049655,120.8894857
269,M,3,63.0761738,158.6394718
270,F,2,64.01221694,116.4485065
271,M,1,76.25833175,201.5709357
272,M,1,66.65005192,172.0800308
273,M,3,70.92509488,181.108274
274,F,2,64.5803419,118.1446024
275,M,1,64.33452771,151.2602647
276,M,2,70.59275844,153.5993558
277,F,1,61.95639893,113.9663861
278,M,3,67.71061508,154.0779139
279,M,3,64.17917375,145.0925069
280,M,1,65.49912346,183.9830082
281,M,1,76.10934352,226.7566163
282,F,3,65.1370054,124.2633409
283,M,1,69.44595135,167.7712923
284,F,1,65.44192917,105.8108676
285,M,1,77.23240019,229.5201761
286,M,4,70.46921474,184.0927294
287,M,1,70.67150997,152.8218281
288,F,1,67.92617189,158.5905355
289,F,1,69.15507904,129.1874503
290,M,1,75.30466177,197.8089498
291,M,1,76.294938,209.4861189
292,F,2,62.84427441,133.2578096
293,F,4,62.21100832,140.286517
294,M,1,75.13203465,199.8892851
295,F,3,74.37904093,129.467309
296,F,1,70.44357921,132.8197564
297,F,2,66.45368731,125.236295
298,F,1,69.21413297,157.7976323
299,M,4,67.61169908,143.9172005
300,F,1,66.68842938,123.8740303
301,F,1,66.4678721,132.4942554
302,F,4,66.06255473,118.8893456
303,M,1,69.43011471,170.2906351
304,F,1,75.26957912,167.0190737
305,M,1,72.75327195,192.8750506
306,M,3,69.28847673,182.2319609
307,F,1,62.5353107,157.9492131
308,F,4,67.02121127,128.6483746
309,F,3,60.76805794,118.9505692
310,M,1,67.99951903,176.9708214
311,F,2,72.47010062,125.3947181
312,M,1,69.00831435,172.4799044
313,M,1,69.56272916,171.9053148
314,M,3,73.66572738,190.6169833
315,F,1,62.33547512,115.5362393
316,M,2,70.52845346,171.711768
317,F,2,68.71270014,117.6115702
318,M,1,66.69141012,143.6730257
319,M,1,72.13949023,144.9572237
320,M,1,70.03423485,190.2152701
321,F,1,67.11094469,126.2918175
322,M,1,69.63605269,188.6126298
323,F,2,69.49963512,110.8953759
324,F,2,61.17252303,104.5065378
325,F,2,64.14852326,138.8596309
326,F,3,69.34557294,166.0633802
327,F,2,67.62355955,138.5018311
328,M,1,74.44283701,182.211933
329,F,1,61.70782108,128.9591095
330,F,2,74.47436644,127.1483317
331,F,2,62.41556581,114.2652663
332,M,1,67.93312155,153.9425666
333,M,3,69.92948861,132.9449749
334,F,2,66.17816277,140.7546136
335,F,2,67.17297394,115.92269
336,M,3,66.1739233,157.2639738
337,M,2,73.40159861,161.1962897
338,M,1,70.61491965,158.4696496
339,F,4,69.29089619,166.6200918
340,F,2,62.9553935,137.0742963
341,F,1,68.0655971,129.2997729
342,M,1,71.69372237,183.7043348
343,F,2,63.67081822,108.4762523
344,M,1,68.02672085,181.4491874
345,F,2,57.58644341,121.0419368
346,M,1,68.96232736,202.0161364
347,F,2,68.58003357,128.7392405
348,F,3,60.80804862,115.6840218
349,F,1,66.28922478,107.5189789
350,F,2,56.85021489,112.9322308
351,M,2,73.88004068,187.1539723
352,F,1,66.03345023,148.8738077
353,M,1,64.93097006,187.3212279
354,M,1,72.07052115,184.3950528
355,F,3,59.17456744,123.3083651
356,M,2,67.12809942,142.7304043
357,F,1,62.61093752,140.0127035
358,F,2,72.112475,154.9289636
359,F,1,70.34170852,159.9777705
360,F,2,65.89576757,108.6040127
361,M,1,73.48246294,172.9512444
362,F,2,63.92601708,116.3976405
363,M,1,67.59396422,193.863527
364,M,1,62.25987118,178.1987693
365,M,3,72.73263517,181.7411089
366,F,1,69.81045406,133.2024522
367,M,4,63.45059978,156.3827122
368,M,1,71.44675519,193.2433044
369,F,1,61.12460176,103.406046
370,M,1,69.75539814,180.6505687
371,F,1,61.33707683,111.0775408
372,M,1,67.23802965,176.8291747
373,M,1,66.84808743,157.9154755
374,F,1,59.84393745,114.5587839
375,F,2,67.99506924,135.9461075
376,M,1,69.49054862,179.3334397
377,M,4,61.21569969,157.7575715
378,M,2,69.88517429,179.9648142
379,M,2,70.37968831,116.9509422
380,F,1,67.22757778,129.9743578
381,F,1,61.76701085,136.4070901
382,M,1,68.70445397,184.5462753
383,M,4,67.14274035,170.0266629
384,M,2,64.06783354,161.3807492
385,F,2,63.61897302,123.0642963
386,M,3,63.70656266,169.010656
387,M,1,65.34643514,154.2007634
388,F,1,70.12838892,96.9793266
389,F,2,67.24870096,107.3610012
390,F,1,74.29164232,139.5069204
391,F,1,71.52742315,141.2948271
392,F,1,71.31595315,122.585298
393,F,3,60.21331166,134.8880465
394,M,4,71.92882501,185.9554156
395,M,3,62.09505012,191.0358017
396,F,2,65.26706837,116.4058153
397,F,1,64.49877231,109.5140872
398,M,1,74.06431901,186.7614396
399,F,2,62.61106415,82.32500692
400,M,1,65.94434032,137.7042729
401,M,2,76.24861978,164.9841128
402,M,2,75.59039725,184.6300292
403,M,1,60.77210617,139.9973125
404,F,2,63.9908638,119.8919225
405,F,4,72.72813289,99.20093891
406,M,2,64.69228792,151.3081142
407,M,2,69.39497485,209.8783537
408,M,3,68.84765056,157.8292519
409,M,1,70.66606029,179.0331278
410,F,2,59.19174088,119.5821992
411,M,2,76.71572316,197.4068747
412,M,1,69.17841965,194.4343333
413,F,2,64.32897522,103.911224
414,M,1,65.25204864,167.2212171
415,F,2,75.50007514,128.4000266
416,F,1,64.25963606,131.9130567
417,M,4,67.49123063,175.4196158
418,M,1,66.51048669,162.030656
419,M,1,65.25167435,129.1027288
420,M,1,59.85124596,120.1183923
421,M,1,66.37201068,160.9761428
422,F,2,68.00880294,135.3475533
423,F,2,63.82413627,101.8413613
424,F,1,67.56949686,105.6915265
425,M,1,73.99780494,210.4993473
426,F,2,66.43241788,98.82198532
427,F,1,73.5941126,113.1213936
428,F,1,59.98390632,124.4268668
429,M,4,69.07070385,183.7282779
430,M,2,67.07798973,138.1700646
431,M,1,66.24306862,106.5337912
432,F,1,65.340948,126.8741803
433,M,1,67.79761363,179.9281383
434,M,1,68.7494789,144.8198793
435,F,1,64.51577229,122.903182
436,M,2,70.32677248,181.2598837
437,M,2,72.36560435,174.788228
438,F,1,63.38124622,116.8431585
439,F,2,69.44177582,116.5844785
440,F,1,67.31133261,149.1494582
441,F,4,64.0725521,104.8175059
442,F,3,70.70257466,123.300099
443,F,1,53.80668226,126.3905231
444,F,1,69.62259245,148.0265095
445,F,2,67.79857976,111.5400234
446,F,1,65.74414981,127.9492279
447,F,2,68.34813871,123.4199915
448,M,2,60.27460666,165.5458814
449,F,1,70.73625221,153.8339097
450,M,2,68.54351987,170.168891
451,F,1,59.33413133,102.1308642
452,M,3,66.76945773,199.7601785
453,F,4,67.15204244,133.2256277
454,M,2,71.19322939,196.1297824
455,F,1,64.08290021,149.0601519
456,F,2,63.26799549,85.18647214
457,F,1,71.94322886,141.6079954
458,M,1,74.26763807,207.7289078
459,F,1,76.13511347,166.5092679
460,F,2,66.79278823,130.0528689
461,M,1,73.64608776,198.1062536
462,M,1,60.91568209,193.7029287
463,M,3,60.28874455,125.3599608
464,F,1,69.39045662,127.7934255
465,F,1,68.41973619,128.5788503
466,M,1,64.65473543,168.4383153
467,F,3,58.84938231,125.4039918
468,M,1,72.14102485,175.1778297
469,M,1,64.69169295,158.4996429
470,F,4,65.39278913,89.76251075
471,F,1,61.71380729,114.865257
472,F,2,67.04206662,125.4410253
473,M,4,69.36451273,189.850279
474,F,3,61.2080544,86.06482557
475,M,1,70.03141289,167.1952048
476,F,1,66.51342204,100.8935283
477,M,2,66.29931692,180.8688594
478,M,1,67.07461747,123.5437869
479,M,1,69.25734549,130.8142469
480,M,1,61.29759136,184.0263325
481,F,1,65.52721389,138.6178568
482,M,2,71.53019041,181.8539843
483,F,2,61.97093018,115.6887497
484,F,3,67.62295223,149.4565721
485,M,3,66.78933225,170.9790152
486,M,2,69.05716509,187.5208009
487,M,3,72.78983399,192.9008955
488,F,1,61.32540773,104.9252022
489,M,1,72.67471897,137.7788759
490,F,2,63.71775734,142.2326321
491,F,3,67.11551957,133.1985096
492,M,2,70.39181295,193.8236379
493,M,1,73.51413419,199.2744643
494,M,2,70.40028659,184.4642318
495,M,2,67.73341364,168.3148076
496,M,1,64.88601629,171.3676618
497,F,4,64.01568804,126.6267383
498,F,2,63.72803357,133.6434272
499,M,2,68.42803282,176.9338775
500,M,1,74.52899535,196.8377231
